2018-01-04 14:00:36 configure mysql-client-core-5.5:amd64 5.5.58-0ubuntu0.14.04.1 <none>
2018-01-04 14:00:36 status unpacked mysql-client-core-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 status half-configured mysql-client-core-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 status installed mysql-client-core-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 configure mysql-client-5.5:amd64 5.5.58-0ubuntu0.14.04.1 <none>
2018-01-04 14:00:36 status unpacked mysql-client-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 status half-configured mysql-client-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 status installed mysql-client-5.5:amd64 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 configure mysql-client:all 5.5.58-0ubuntu0.14.04.1 <none>
2018-01-04 14:00:36 status unpacked mysql-client:all 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 status half-configured mysql-client:all 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 status installed mysql-client:all 5.5.58-0ubuntu0.14.04.1
2018-01-04 14:00:36 configure python-mysql.connector:all 1.1.6-1 <none>
2018-01-04 14:00:36 status unpacked python-mysql.connector:all 1.1.6-1
2018-01-04 14:00:36 status half-configured python-mysql.connector:all 1.1.6-1
2018-01-04 14:00:36 status installed python-mysql.connector:all 1.1.6-1
2018-01-04 14:00:36 configure mysql-utilities:all 1.3.5-2 <none>
2018-01-04 14:00:36 status unpacked mysql-utilities:all 1.3.5-2
2018-01-04 14:00:36 status half-configured mysql-utilities:all 1.3.5-2
2018-01-04 14:00:36 status installed mysql-utilities:all 1.3.5-2
2018-01-04 14:00:36 configure mysql-workbench-data:all 6.0.8+dfsg-2 <none>
2018-01-04 14:00:36 status unpacked mysql-workbench-data:all 6.0.8+dfsg-2
2018-01-04 14:00:36 status half-configured mysql-workbench-data:all 6.0.8+dfsg-2
2018-01-04 14:00:36 status installed mysql-workbench-data:all 6.0.8+dfsg-2
2018-01-04 14:00:36 configure python-paramiko:all 1.10.1-1git1build1 <none>
2018-01-04 14:00:36 status unpacked python-paramiko:all 1.10.1-1git1build1
2018-01-04 14:00:36 status half-configured python-paramiko:all 1.10.1-1git1build1
2018-01-04 14:00:37 status installed python-paramiko:all 1.10.1-1git1build1
2018-01-04 14:00:37 configure python-pyodbc:amd64 3.0.6-2 <none>
2018-01-04 14:00:37 status unpacked python-pyodbc:amd64 3.0.6-2
2018-01-04 14:00:37 status half-configured python-pyodbc:amd64 3.0.6-2
2018-01-04 14:00:37 status installed python-pyodbc:amd64 3.0.6-2
2018-01-04 14:00:37 configure mysql-workbench:amd64 6.0.8+dfsg-2 <none>
2018-01-04 14:00:37 status unpacked mysql-workbench:amd64 6.0.8+dfsg-2
2018-01-04 14:00:37 status half-configured mysql-workbench:amd64 6.0.8+dfsg-2
2018-01-04 14:00:37 status installed mysql-workbench:amd64 6.0.8+dfsg-2
2018-01-04 14:00:37 configure ttf-bitstream-vera:all 1.10-8 <none>
